Company/Brand,HeadQuarter,Sector,Amount($),Funding Year
Airmeet,Karnataka,Media and Entertainment,3000000,2020
Innerchef,Haryana,Agriculture and Food Production,1000000,2020
Epigamia,Maharashtra,Manufacturing,2558000,2020
StyleNook,Maharashtra,E-Commerce and Retail,0,2020
Callido Learning,Maharashtra,Education,0,2020
Soxytoes,Delhi,E-Commerce and Retail,0,2020
F5,Delhi,E-Commerce and Retail,0,2020
Paper Boat,Karnataka,Agriculture and Food Production,4049500,2020
Strata,Karnataka,"Career, Special Duties and Personal Development",1500000,2020
Salesken,Karnataka,Information Technology (IT),8000000,2020
Arya,Uttar Pradesh,Information Technology (IT),6000000,2020
Leap Finance,Karnataka,Banking and Financial Services,5500000,2020
Sleepy Owl,Delhi,Agriculture and Food Production,0,2020
Tricog,Karnataka,Healthcare and Fitness,10500000,2020
GogoBus,Delhi,Transportation and Tourism,0,2020
Trell,Karnataka,E-Commerce and Retail,4000000,2020
Spaciya Consultants,Uttar Pradesh,Real Estate,500000,2020
Bounce,Karnataka,Manufacturing,6500000,2020
Neeman,N/A,E-Commerce and Retail,1000000,2020
Chqbook,Haryana,Banking and Financial Services,5000000,2020
SMEcorner,Maharashtra,Banking and Financial Services,30000000,2020
Oda Class,Karnataka,Education,0,2020
Spinny,Haryana,E-Commerce and Retail,43700000,2020
goStops,Delhi,Real Estate,0,2020
Umeed Housing,Haryana,Banking and Financial Services,23000000,2020
Vogo,Karnataka,Manufacturing,20000000,2020
Flick Stree,Maharashtra,Information Technology (IT),3000000,2020
Qure ai,Maharashtra,Healthcare and Fitness,16000000,2020
MinionLabs,Karnataka,Information Technology (IT),0,2020
Josh Talks,Haryana,Media and Entertainment,1500000,2020
PhoneParLoan,Delhi,Banking and Financial Services,0,2020
RailYatri,Uttar Pradesh,Transportation and Tourism,13800000,2020
AjnaLens,Maharashtra,Information Technology (IT),1500000,2020
Pepper,Maharashtra,E-Commerce and Retail,306900,2020
Rupeek,Karnataka,Banking and Financial Services,30000000,2020
iMerit,West Bengal,Information Technology (IT),20000000,2020
BharatPe,Delhi,Banking and Financial Services,75000000,2020
Invideo,N/A,Media and Entertainment,2500000,2020
AvalonMeta,N/A,Education,420000,2020
Near Store,Maharashtra,E-Commerce and Retail,300000,2020
ElecTorq,Delhi,Manufacturing,0,2020
Prayaan Capital,Tamil Nadu,Banking and Financial Services,1200000,2020
Sanfe,Delhi,Healthcare and Fitness,1100000,2020
Go Desi,Delhi,Agriculture and Food Production,627300,2020
Swiggy,Karnataka,Agriculture and Food Production,113000000,2020
Whatfix,Karnataka,Information Technology (IT),32000000,2020
Unacademy,Karnataka,Education,110000000,2020
Zvesta,Haryana,"Career, Special Duties and Personal Development",5500000,2020
Dunzo,Karnataka,Transportation and Tourism,11000000,2020
Digit Insurance,Karnataka,Banking and Financial Services,340000,2020
Yolo,Haryana,Transportation and Tourism,600000,2020
SmartVizX,N/A,Information Technology (IT),1397000,2020
MaxWholesale,Delhi,E-Commerce and Retail,3000000,2020
Carbon Clean,N/A,Information Technology (IT),16000000,2020
Onsitego,N/A,E-Commerce and Retail,19000000,2020
Genius Corner,Uttar Pradesh,Education,250000,2020
PlanetSpark,Haryana,Education,448500,2020
CamCom,Karnataka,Information Technology (IT),0,2020
Simsim,Karnataka,E-Commerce and Retail,8000000,2020
Shuttl,Delhi,Transportation and Tourism,7975700,2020
HooLiv,Delhi,Real Estate,0,2020
ClassMonitor,Madhya Pradesh,Education,0,2020
Friyey,Maharashtra,"Career, Special Duties and Personal Development",0,2020
Oga,Karnataka,Healthcare and Fitness,330000,2020
Big Basket,Karnataka,E-Commerce and Retail,3500000,2020
CYFIRMA,Karnataka,Information Technology (IT),0,2020
Innoviti,Karnataka,N/A,5000000,2020
Paytm money,Karnataka,Banking and Financial Services,5600000,2020
Vedantu,Karnataka,Education,24000000,2020
Yap,Tamil Nadu,Banking and Financial Services,1402000,2020
Clover,Karnataka,Information Technology (IT),5500000,2020
Nova Credit,N/A,Banking and Financial Services,50000000,2020
CodingNinjas,Delhi,Education,5200000,2020
Furlenco,Karnataka,E-Commerce and Retail,2200000,2020
Brick&Bolt,Karnataka,N/A,1500000,2020
HempStreet,N/A,Healthcare and Fitness,1000000,2020
MoEngage,Karnataka,E-Commerce and Retail,25000000,2020
Classplus,N/A,Education,2500000,2020
Chaayos,N/A,Agriculture and Food Production,21500000,2020
PetPooja,Gujarat,Information Technology (IT),2000000,2020
Altor,N/A,Information Technology (IT),0,2020
Pepperfry,Maharashtra,E-Commerce and Retail,40000000,2020
FirstCry,Maharashtra,E-Commerce and Retail,296000000,2020
Byju,N/A,Education,200000000,2020
Waycool,Tamil Nadu,Information Technology (IT),32000000,2020
WorkIndia,N/A,"Career, Special Duties and Personal Development",6000000,2020
Qyuki,Maharashtra,Media and Entertainment,3500000,2020
Leap India,Tamil Nadu,Information Technology (IT),30000000,2020
Picxy,Telangana,Media and Entertainment,250000,2020
Krimanshi,Rajasthan,Information Technology (IT),20000,2020
NEETprep,Delhi,Education,0,2020
Dot Pvt. Ltd,Haryana,Banking and Financial Services,8000000,2020
Kuku FM,Maharashtra,Media and Entertainment,5500000,2020
SuperMoney,Maharashtra,Banking and Financial Services,1000000,2020
Rebel Foods,N/A,Agriculture and Food Production,4900000,2020
AlphaVector,Karnataka,E-Commerce and Retail,0,2020
Fox Capital,Rajasthan,Banking and Financial Services,2500000,2020
Tribe Theory,Karnataka,Real Estate,3500000,2020
Fleetx,N/A,Information Technology (IT),1402400,2020
Embibe,Maharashtra,Education,12618300,2020
Entri,Kerala,Education,1400000,2020
Oye! Rickshaw,N/A,Transportation and Tourism,10000000,2020
Seal Professional,Karnataka,Education,0,2020
Sprinng Foods,Maharashtra,Agriculture and Food Production,0,2020
1MG,Haryana,Healthcare and Fitness,9900000,2020
Aagey,Karnataka,Banking and Financial Services,0,2020
Doubtnut,Haryana,Education,15000000,2020
AdonMo,Karnataka,Information Technology (IT),3000000,2020
RACEnergy,N/A,Transportation and Tourism,0,2020
BharatPe,Delhi,Banking and Financial Services,100000000,2020
Kisan Network,Haryana,Information Technology (IT),3000000,2020
Vogo,Karnataka,Manufacturing,35000000,2020
Unotech,Maharashtra,Information Technology (IT),2000000,2020
Zetwerk,Karnataka,E-Commerce and Retail,2200000,2020
CureSkin,Karnataka,Healthcare and Fitness,500000,2020
WizKlub,Karnataka,Education,982530,2020
Interviewbit,Maharashtra,Education,200000000,2020
MoneyTap,N/A,Banking and Financial Services,70185200,2020
Uniplatform Tech,Delhi,Information Technology (IT),0,2020
INdwealth,Haryana,Banking and Financial Services,12000000,2020
Bizongo,Maharashtra,E-Commerce and Retail,30000000,2020
AppsFlyer,Karnataka,Information Technology (IT),210000000,2020
Digit Insurance,Karnataka,Banking and Financial Services,84000000,2020
Livspace,Karnataka,"Career, Special Duties and Personal Development",60000000,2020
GetVantage,Maharashtra,Banking and Financial Services,0,2020
Konfinity,Uttar Pradesh,Education,0,2020
Pine Labs,Uttar Pradesh,Banking and Financial Services,0,2020
Instoried,Delhi,Information Technology (IT),0,2020
Nupay,Haryana,Banking and Financial Services,0,2020
LogiNext,N/A,Transportation and Tourism,39000000,2020
Samosa Singh,Karnataka,Agriculture and Food Production,2700000,2020
Crysta,Delhi,Healthcare and Fitness,1403400,2020
Eupheus Learning,Delhi,Education,4300000,2020
Bounce,Karnataka,Manufacturing,105000000,2020
Park+,N/A,Information Technology (IT),11000000,2020
Goodmylk,Karnataka,Agriculture and Food Production,400000,2020
SmartKarrot,N/A,Information Technology (IT),1000000,2020
Skylo,N/A,Information Technology (IT),103000000,2020
Tea Trunk,Goa,Agriculture and Food Production,220000,2020
Zoomcar,Karnataka,Transportation and Tourism,30000000,2020
Mera Cashier,Uttar Pradesh,Banking and Financial Services,250000,2020
Samya AI,N/A,Information Technology (IT),6000000,2020
Kristal AI,N/A,Information Technology (IT),6000000,2020
Invento Robotics,N/A,Information Technology (IT),281300,2020
Zimyo,Haryana,"Career, Special Duties and Personal Development",0,2020
Sabse Sasta Dukaan,West Bengal,Healthcare and Fitness,0,2020
Fitphilia,Maharashtra,Healthcare and Fitness,0,2020
Medicus,Maharashtra,Healthcare and Fitness,12700,2020
Monech,Maharashtra,Banking and Financial Services,12700,2020
Teach Us,N/A,Education,12700,2020
Dealberg,Karnataka,E-Commerce and Retail,0,2020
Phenom People,N/A,"Career, Special Duties and Personal Development",30000000,2020
Extra Edge,Maharashtra,Education,700000,2020
Capital Quotient,Karnataka,Banking and Financial Services,600000,2020
Karfa,Delhi,E-Commerce and Retail,25000,2020
Gamerji,N/A,Media and Entertainment,400000,2020
Bounce,Karnataka,Manufacturing,97500000,2020
Zinier,Karnataka,Manufacturing,90000000,2020
ProEves,Delhi,Education,507000,2020
Toddle,Karnataka,N/A,0,2020
Aesthetic Nutrition,N/A,Agriculture and Food Production,0,2020
Ninjacart,Karnataka,E-Commerce and Retail,10000000,2020
TechnifyBiz,N/A,E-Commerce and Retail,2000000,2020
Wysh,Telangana,E-Commerce and Retail,2000000,2020
Keito,Maharashtra,Information Technology (IT),160000,2020
Klub,N/A,Banking and Financial Services,2000000,2020
Aadhar,Maharashtra,E-Commerce and Retail,0,2020
IncubateHub,Karnataka,Information Technology (IT),0,2020
Rage Coffee,Delhi,Manufacturing,0,2020
Skilancer,Uttar Pradesh,Information Technology (IT),0,2020
Harappa Education,Delhi,Education,0,2020
Rheo,N/A,Media and Entertainment,2000000,2020
Axio Biosolutions,Karnataka,Healthcare and Fitness,5200000,2020
Techbooze,N/A,"Career, Special Duties and Personal Development",15000000,2020
PayMart,Chandigarh,Banking and Financial Services,0,2020
Testbook,N/A,Education,8400000,2020
FabAlley,Uttar Pradesh,E-Commerce and Retail,1100000,2020
HaikuJAM,N/A,N/A,3400000,2020
Mamaearth,N/A,E-Commerce and Retail,18300000,2020
Rentomojo,N/A,E-Commerce and Retail,2000000,2020
Zomato,N/A,Agriculture and Food Production,150000000,2020
Generico,Maharashtra,Healthcare and Fitness,1400000,2020
HighRadius,Telangana,Information Technology (IT),125000000,2020
Chai Kings,Tamil Nadu,Agriculture and Food Production,1000000,2020
Rivigo,Haryana,Transportation and Tourism,3400000,2020
BuildPan,Madhya Pradesh,Information Technology (IT),0,2020
Shiksha,N/A,Education,181000,2020
Super Surfaces,Telangana,"Career, Special Duties and Personal Development",500000,2020
Quicko,Gujarat,Social Development,280000,2020
Satin Creditcare,Haryana,Banking and Financial Services,15000000,2020
XpressBees,N/A,Transportation and Tourism,10000000,2020
FarmERP,Maharashtra,Information Technology (IT),0,2020
Wealth Bucket,N/A,Banking and Financial Services,3000000,2020
GoMechanic,Delhi,Manufacturing,14700000,2020
Fashor,Tamil Nadu,Fashion and Beauty,1000000,2020
Leverage Edu,Delhi,Education,1500000,2020
EpiFi,N/A,Banking and Financial Services,13200000,2020
Purplle,Maharashtra,Fashion and Beauty,8000000,2020
Shuttl,Delhi,Transportation and Tourism,8043000,2020
Pando,Tamil Nadu,Information Technology (IT),9000000,2020
Unbox Robotics,Karnataka,Information Technology (IT),1200000,2021
upGrad,Maharashtra,Education,120000000,2021
Lead School,Maharashtra,Education,30000000,2021
Bizongo,Maharashtra,E-Commerce and Retail,51000000,2021
FypMoney,Haryana,Banking and Financial Services,2000000,2021
Urban Company,Delhi,"Career, Special Duties and Personal Development",188000000,2021
Comofi Medtech,Karnataka,Healthcare and Fitness,200000,2021
Qube Health,Maharashtra,Healthcare and Fitness,0,2021
Vitra.ai,Karnataka,Information Technology (IT),0,2021
Taikee,Maharashtra,E-Commerce and Retail,1000000,2021
Fitterfly,Maharashtra,Healthcare and Fitness,3000000,2021
FreeStand,Delhi,E-Commerce and Retail,100000,2021
MyDentalPlan,Karnataka,Healthcare and Fitness,700000,2021
Freyr Energy,Telangana,Energy,2000000,2021
DealShare,Rajasthan,E-Commerce and Retail,9000000,2021
Tessolve,Karnataka,Manufacturing,40000000,2021
Smart Joules,Delhi,Energy,49000000,2021
ORAI,Karnataka,Information Technology (IT),400000,2021
ixamBee,Delhi,Education,300000,2021
CoinSwitch Kuber,Karnataka,Banking and Financial Services,25000000,2021
Razorpay,Karnataka,Banking and Financial Services,160000000,2021
Uable,Karnataka,Education,0,2021
ZFW Hospitality,Delhi,Agriculture and Food Production,150000,2021
Optimized Electrotech,Ahmadabad,Transportation and Tourism,1800000,2021
Northern Arc,Tamil Nadu,Banking and Financial Services,5000000,2021
Chara,Karnataka,Information Technology (IT),850000,2021
Sirona Hygiene,Delhi,Healthcare and Fitness,3000000,2021
Pristyn Care,Haryana,Healthcare and Fitness,53000000,2021
TrulyMadly,Delhi,Social Development,2000000,2021
Vidyakul,N/A,Education,500000,2021
Jambox Games,Karnataka,Media and Entertainment,1100000,2021
Miko,Maharashtra,Information Technology (IT),6000000,2021
SuperK,Andhra Pradesh,E-Commerce and Retail,800000,2021
TagZ Foods,Karnataka,Agriculture and Food Production,500000,2021
Fuel Buddy,Delhi,Energy,1000000,2021
M1xchange,Haryana,Banking and Financial Services,10000000,2021
Spintly,Goa,Information Technology (IT),500000,2021
EF Polymer,Rajasthan,Information Technology (IT),200000,2021
boAt,Delhi,Manufacturing,6000000,2021
TruNativ,Maharashtra,Agriculture and Food Production,0,2021
iBus,Karnataka,Information Technology (IT),21000000,2021
Puresh Daily,Jharkhand,Agriculture and Food Production,100000,2021
LearnVern,Ahmadabad,Education,1000000,2021
LimeChat,Haryana,Information Technology (IT),7500000,2021
Dybo,Karnataka,Information Technology (IT),100000,2021
moEVing,Haryana,Transportation and Tourism,1000000,2021
WeWork India,Karnataka,Events and Hospitality,26000000,2021
Solethreads,Haryana,Fashion and Beauty,1000000,2021
Beldara,Maharashtra,E-Commerce and Retail,7400000,2021
CredFlow,Delhi,Banking and Financial Services,2000000,2021
Do Your Thng,Haryana,E-Commerce and Retail,1500000,2021
Oye Rickshaw,Haryana,Transportation and Tourism,3000000,2021
Legitquest,Delhi,"Career, Special Duties and Personal Development",600000,2021
Swiggy,Karnataka,Agriculture and Food Production,800000000,2021
AntWak,Karnataka,Education,0,2021
PlayShifu,Karnataka,Education,17000000,2021
Pitstop,Karnataka,Manufacturing,3500000,2021
Lendingkart,Gujarat,Banking and Financial Services,15000000,2021
CRED,Karnataka,Banking and Financial Services,215000000,2021
Karnival,Karnataka,Information Technology (IT),2500000,2021
PharmEasy,Maharashtra,Healthcare and Fitness,350000000,2021
WESS,Maharashtra,Energy,2000000,2021
ShopSe,Maharashtra,Banking and Financial Services,5500000,2021
Fantasy Akhada,Haryana,Healthcare and Fitness,600000,2021
Rage Coffee,Delhi,Agriculture and Food Production,0,2021
Groww,Karnataka,Banking and Financial Services,83000000,2021
Avanti Finance,Karnataka,Banking and Financial Services,26000000,2021
Kudos,Maharashtra,Banking and Financial Services,0,2021
OfBusiness,Haryana,Banking and Financial Services,110000000,2021
Superpro.ai,Karnataka,Media and Entertainment,3000000,2021
ShareChat,Karnataka,Media and Entertainment,500000000,2021
WiT-ACE,Haryana,"Career, Special Duties and Personal Development",1000000,2021
Spinny,Haryana,E-Commerce and Retail,65000000,2021
Alteria Capital,Maharashtra,Banking and Financial Services,150000000000,2021
Safexpay,Maharashtra,Banking and Financial Services,6000000,2021
PumPumPum,Haryana,E-Commerce and Retail,700000,2021
Speciale Invest,Karnataka,Banking and Financial Services,10000000,2021
Eunimart,Telangana,E-Commerce and Retail,700000,2021
Meesho,Karnataka,E-Commerce and Retail,300000000,2021
CareerLabs,Karnataka,Education,2200000,2021
Uable,Karnataka,Education,35000000,2021
Zoko,Karnataka,Information Technology (IT),140000000,2021
GetWork,Haryana,"Career, Special Duties and Personal Development",200000,2021
Easebuzz,Maharashtra,E-Commerce and Retail,4000000,2021
Chingari,Karnataka,Media and Entertainment,13000000,2021
DusMinute,Karnataka,E-Commerce and Retail,1100000,2021
Onsurity,Karnataka,Healthcare and Fitness,0,2021
Karbon Card,Karnataka,Banking and Financial Services,0,2021
Factors.AI,Karnataka,Information Technology (IT),2000000,2021
Elevar,Maharashtra,Healthcare and Fitness,2000000,2021
Studio Sirah,Karnataka,Media and Entertainment,800000,2021
OTO Capital,Maharashtra,Banking and Financial Services,6000000,2021
1Bridge,Karnataka,E-Commerce and Retail,2500000,2021
Skeps,Haryana,Banking and Financial Services,9500000,2021
Curefoods,Karnataka,Agriculture and Food Production,13000000,2021
TartanSense,Karnataka,Information Technology (IT),5000000,2021
Bewakoof,Maharashtra,Fashion and Beauty,8000000,2021
Kirana247,Delhi,Transportation and Tourism,1000000,2021
FanPlay,N/A,Media and Entertainment,1200000,2021
NeoDocs,Maharashtra,Healthcare and Fitness,0,2021
IsGoingOnline,Kerala,E-Commerce and Retail,200000,2021
Camp K12,Haryana,Education,12000000,2021
Elda Health,Karnataka,Healthcare and Fitness,1500000,2021
Sporjo,Maharashtra,Healthcare and Fitness,2000000,2021
Advantage Club,Maharashtra,"Career, Special Duties and Personal Development",1700000,2021
SuperGaming,Maharashtra,Media and Entertainment,5500000,2021
Ruptok,Delhi,Banking and Financial Services,1000000,2021
O’ Be Cocktails,Karnataka,Manufacturing,400000,2021
Zetwerk,Karnataka,"Career, Special Duties and Personal Development",150000000,2021
AppsForBharat,Karnataka,"Career, Special Duties and Personal Development",4000000,2021
Imagimake,Maharashtra,E-Commerce and Retail,0,2021
Khatabook,Karnataka,Banking and Financial Services,100000000,2021
Smytten,Haryana,E-Commerce and Retail,6000000,2021
Syook,Karnataka,Manufacturing,1000000,2021
Akudo,Karnataka,Banking and Financial Services,0,2021
NOTO,Maharashtra,E-Commerce and Retail,500000,2021
Lumiq,Uttar Pradesh,Information Technology (IT),2000000,2021
CommerceUp,Haryana,Information Technology (IT),0,2021
Breathe Well-being,Haryana,Healthcare and Fitness,5500000,2021
Hike,Delhi,Information Technology (IT),0,2021
House of Kieraya,Karnataka,"Career, Special Duties and Personal Development",15000000,2021
goEgoNetwork,Maharashtra,Manufacturing,2000000,2021
Probus,Delhi,Information Technology (IT),500000,2021
DrinkPrime,Karnataka,E-Commerce and Retail,1000000,2021
Smart Express,Maharashtra,Transportation and Tourism,10000000,2021
Smallcase,Karnataka,Banking and Financial Services,40000000,2021
SATYA MicroCapital,Delhi,Banking and Financial Services,10000000,2021
Snack Amor,Maharashtra,Agriculture and Food Production,0,2021
Postman,Karnataka,Information Technology (IT),225000000,2021
Hashnode,Karnataka,Information Technology (IT),6700000,2021
RACEnergy,Telangana,Manufacturing,1300000,2021
BharatPe,Delhi,Banking and Financial Services,20000000,2021
Gyde,Maharashtra,Information Technology (IT),250000,2021
BatteryPool,Maharashtra,Manufacturing,0,2021
AgNext,Chandigarh,Information Technology (IT),21000000,2021
Xpresslane,Karnataka,Information Technology (IT),400000,2021
LoanKuber,Delhi,Banking and Financial Services,1200000,2021
OYO,Haryana,Events and Hospitality,5000000,2021
Rapido,Karnataka,Information Technology (IT),52000000,2021
YPay,Uttar Pradesh,Banking and Financial Services,400000,2021
SleepyCat,Maharashtra,Manufacturing,3800000,2021
Ultrahuman,Karnataka,Healthcare and Fitness,17500000,2021
UpScalio,Haryana,E-Commerce and Retail,42000000,2021
Yellow Class,Haryana,Education,6000000,2021
Yojak,Haryana,E-Commerce and Retail,3800000,2021
CreatorStack,Karnataka,Information Technology (IT),2000000,2021
Expertrons,Maharashtra,Education,2300000,2021
Rage Coffee,Delhi,Agriculture and Food Production,5000000,2021
Klub,Karnataka,Banking and Financial Services,20000000,2021
Navia Life Care,Delhi,Healthcare and Fitness,1000000,2021
1K Kirana Bazaar,Haryana,E-Commerce and Retail,7000000,2021
Zupee,Haryana,Media and Entertainment,30000000,2021
Locale.ai,Karnataka,Information Technology (IT),1000000,2021
VerSe Innovation,Karnataka,Media and Entertainment,450000000,2021
MetroRide,Karnataka,Transportation and Tourism,0,2021
Miko,Maharashtra,Information Technology (IT),28000000,2021
Whiz League,Delhi,Education,300000,2021
Hash,Delhi,Agriculture and Food Production,3500000,2021
Unacademy,Karnataka,Education,0,2021
Log 9 Materials,Karnataka,Information Technology (IT),8500000,2021
upGrad,Maharashtra,Education,25000000,2021
FlashPrep,Karnataka,Education,500000,2021
Kenko Health,Maharashtra,Banking and Financial Services,1700000,2021
Wiz Freight,Tamil Nadu,Transportation and Tourism,3500000,2021
Credgenics,Delhi,Banking and Financial Services,25000000,2021
BlueLearn,Goa,Education,400000,2021
NimbleBox.ai,Tamil Nadu,Information Technology (IT),1000000,2021
Pickrr,Haryana,Transportation and Tourism,12000000,2021
Stellaris Venture Partners,Karnataka,Banking and Financial Services,225000000,2021
Grip Invest,Haryana,Banking and Financial Services,3000000,2021
Heads Up For Tails,Delhi,"Career, Special Duties and Personal Development",37000000,2021
Blue Tokai Coffee Roasters,Delhi,Agriculture and Food Production,2000000,2021
Neeman,Telangana,E-Commerce and Retail,2000000,2021
BharatPe,Delhi,Banking and Financial Services,370000000,2021
GoSats,Karnataka,Banking and Financial Services,700000,2021
StockGro,Karnataka,Banking and Financial Services,5000000,2021
Onsurity,Karnataka,Healthcare and Fitness,16000000,2021
Khabri,Haryana,Media and Entertainment,2000000,2021
Celcius,Maharashtra,Transportation and Tourism,500000,2021
AyuRythm,Karnataka,Healthcare and Fitness,0,2021
Enguru,Karnataka,Education,0,2021
Rocket Skills,Haryana,Education,200000,2021
RenewBuy,Haryana,Banking and Financial Services,10000000,2021
Faarms,Karnataka,Information Technology (IT),2000000,2021
UrbanMatrix Technologies,Tamil Nadu,Media and Entertainment,100000,2021
Jupiter,Maharashtra,Banking and Financial Services,44000000,2021
Pixuate,Karnataka,Information Technology (IT),1000000,2021
Playo,Karnataka,Healthcare and Fitness,500000,2021
Toothsi,Maharashtra,Healthcare and Fitness,20000000,2021
Soothe Healthcare,Delhi,E-Commerce and Retail,10000000,2021
Goodmeetings,Karnataka,Information Technology (IT),1700000,2021
Apnaklub,Karnataka,E-Commerce and Retail,3500000,2021
ChefKart,Haryana,E-Commerce and Retail,300000,2021
Fashinza,Haryana,Fashion and Beauty,20000000,2021
Fabheads,Tamil Nadu,Manufacturing,0,2021
QuickShift,Maharashtra,Transportation and Tourism,770000,2021
StackBOX,Karnataka,Transportation and Tourism,1200000,2021
MedPrime Technologies,Maharashtra,Healthcare and Fitness,0,2021
infra.market,Maharashtra,Construction,125000000,2021
CollegeDekho,Haryana,Education,35000000,2021
BOX8,Maharashtra,Agriculture and Food Production,40000000,2021
Simpl,Karnataka,E-Commerce and Retail,40000000,2021
8i Ventures,Maharashtra,Banking and Financial Services,50000000,2021
PayGlocal,Karnataka,Banking and Financial Services,4900000,2021
Curefit,Karnataka,Healthcare and Fitness,145000000,2021
Pocket FM,Karnataka,Media and Entertainment,22000000,2021
CHARGE+ZONE,Gujarat,Manufacturing,10000000,2021
PlanetSpark,Haryana,Education,13000000,2021
LenDenClub,Maharashtra,Banking and Financial Services,10000000,2021
CometChat,Maharashtra,Information Technology (IT),10000000,2021
AgroStar,Maharashtra,Information Technology (IT),70000000,2021
Bizongo,Maharashtra,Information Technology (IT),100000000,2021
Probus Insurance,Maharashtra,Banking and Financial Services,6700000,2021
MoEngage,Karnataka,Information Technology (IT),30000000,2021
CloudSEK,Karnataka,Information Technology (IT),7000000,2021
Exponent Energy,Karnataka,Manufacturing,5000000,2021
Trinkerr,Karnataka,Banking and Financial Services,6600000,2021
Zorro,Haryana,Media and Entertainment,32000000,2021
Ultraviolette,Karnataka,Manufacturing,150000000,2021
NephroPlus,Telangana,Healthcare and Fitness,24000000,2021
Unremot,Karnataka,Information Technology (IT),700000,2021
FanAnywhere,Karnataka,Banking and Financial Services,0,2021
PingoLearn,Maharashtra,Education,200000,2021
Spry,Maharashtra,Media and Entertainment,1500000,2021
Enmovil,Telangana,Information Technology (IT),1300000,2021
ASQI Advisors,Maharashtra,Banking and Financial Services,1000000,2021
Insurance Samadhan,Delhi,Banking and Financial Services,725000,2021
Evenflow Brands,Maharashtra,E-Commerce and Retail,500000,2021
MasterChow,Delhi,Agriculture and Food Production,461000,2021
Fullife Healthcare,N/A,Healthcare and Fitness,22000000,2021
MoEVing,Haryana,N/A,5000000,2021
Pristyn Care,Haryana,Healthcare and Fitness,96000000,2021
Plix,Maharashtra,Healthcare and Fitness,5000000,2021
Uni Cards,Karnataka,Banking and Financial Services,70000000,2021
Practically,Telangana,Education,5000000,2021
Nestasia,West Bengal,E-Commerce and Retail,4000000,2021
Vedic Cosmeceuticals,Uttar Pradesh,Fashion and Beauty,32000000,2021
Juspay,Karnataka,Banking and Financial Services,60000000,2021
TranZact,Maharashtra,Information Technology (IT),7000000,2021
Atomberg,Maharashtra,Information Technology (IT),20000000,2021
Ola,Karnataka,Transportation and Tourism,500000000,2021
Mohalla Tech,Karnataka,Media and Entertainment,266000000,2021
Stack,Karnataka,Banking and Financial Services,4500000,2021
PropReturns,Maharashtra,Real Estate,1200000,2021
WeSkill,Haryana,Education,4000000,2021
Fitpage,Maharashtra,Healthcare and Fitness,300000,2021
ShopMyLooks,Uttar Pradesh,Media and Entertainment,200000,2021
ByteLearn,Uttar Pradesh,Education,9500000,2021
Dista,Maharashtra,Information Technology (IT),1200000,2021
OfBusiness,Haryana,Banking and Financial Services,325000000,2021
Bizongo,Maharashtra,E-Commerce and Retail,100000000,2021
FRND,Karnataka,Media and Entertainment,6500000,2021
Metadome,Karnataka,Information Technology (IT),4000000,2021
Keka HR,Telangana,Information Technology (IT),1600000,2021
Flo Mobility,Karnataka,Manufacturing,400000,2021
Yodacart,Maharashtra,E-Commerce and Retail,225000,2021
TheHouseMonk,Karnataka,Real Estate,5000000,2021
Zepto,Karnataka,E-Commerce and Retail,100000000,2021
Sirona Hygiene,Delhi,Healthcare and Fitness,10000000,2021
Jumbotail,Karnataka,E-Commerce and Retail,85000000,2021
Captain Fresh,Karnataka,Transportation and Tourism,40000000,2021
Deciwood,Delhi,Information Technology (IT),200000,2021
Kohbee,Karnataka,Education,235000,2021
Perfora,Haryana,E-Commerce and Retail,260000,2021
Unbox Robotics,Maharashtra,Transportation and Tourism,7000000,2021
Ninety One,Gujarat,E-Commerce and Retail,30000000,2021
Gobillion,Delhi,E-Commerce and Retail,2900000,2021
RIPPLR,Karnataka,Transportation and Tourism,12000000,2021
SK Finance,Rajasthan,Banking and Financial Services,53000000,2021
Eggoz,Haryana,Agriculture and Food Production,3500000,2021
Fabriclore,Rajasthan,Fashion and Beauty,700000,2021
Veefin,Maharashtra,Information Technology (IT),3000000,2021
Verandah,Maharashtra,Fashion and Beauty,1000000,2021
Karkinos Healthcare,Maharashtra,Healthcare and Fitness,0,2021
OWO Technologies,Haryana,Agriculture and Food Production,3000000,2021
EsportsXO,Karnataka,Media and Entertainment,1100000,2021
The Gourmet Jar,Uttar Pradesh,Agriculture and Food Production,150000,2021
Zorgers,Punjab,Healthcare and Fitness,0,2021
BangDB,Karnataka,Information Technology (IT),0,2021
Neobank Jupiter,Maharashtra,Banking and Financial Services,86000000,2021
Skippi Ice Pops,Telangana,Agriculture and Food Production,130000,2021
Glii,Uttar Pradesh,Social Development,10000,2021
GlobalBees,Delhi,E-Commerce and Retail,111000000,2021
Mamaearth,Haryana,Healthcare and Fitness,37000000,2021
SecureNow,Haryana,Banking and Financial Services,6000000,2021
Vendor Infra,Haryana,Construction,265000,2021
Hakuna Matata,Tamil Nadu,Information Technology (IT),1000000,2021
OneCard,Maharashtra,Banking and Financial Services,76000000,2021
Doubtnut,Haryana,Education,30000000,2021
Hubhopper,Delhi,Media and Entertainment,0,2021
Infra.Market,Maharashtra,Construction,100000000,2021
Comofi Medtech,Karnataka,Healthcare and Fitness,200000,2021
Battery Smart,Delhi,Manufacturing,0,2021
Kutuki,Karnataka,Education,2000000,2021
Onelife,Maharashtra,Healthcare and Fitness,0,2021
Eupheus,Delhi,Education,4000000,2021
